Ciezar;Ceny;Pojemnosc
[ 2  9 30 34 45];[ 8  2  8 15 15];47
[26 38 40 45  7];[13 17 18  3  8];39
[46 29 36 37 23];[ 4 15  7 13  9];59
[32 40 48 24 27];[ 4 18 18  7  6];18
[17 21 34 29 17];[19  2 12 17  1];22
[ 7 11  1  9 41];[13  6 17 10 11];15
[13  2 30  1 22];[ 7  5 16 10  7];71
[43  2 44 16  1];[18  9  3  9 19];52
[10 36 17 26 35];[ 6 18  3  7 14];35
[26  4 38 29  8];[ 1  8  1  8 18];60
[ 6  4 37 21 28];[18  3  6  7  1];72
[29  3 11 24 41];[17 10 12 14 18];47
[ 5 47 33 43 23];[17 11 19  2  1];30
[10 48 22 33  5];[13  3  5 13  1];72
[47 44 36 23  6];[ 5  6 11 10  2];50
[ 3  1 34 25  8];[14 16 15  4  8];72
[ 3 41 26 24 21];[14 16  1 17 17];27
[46 14 37 49  8];[12 12  1  2 10];20
[11 49  2 47  1];[ 2  2  2 10  2];48
[ 4 21  4 48 42];[11 15 14 13 14];57
[ 7 45 48 26 25];[ 1  2 15 14  2];19
[ 4 20  7 13 14];[16  4 19 14  8];36
[36 31  4 16  2];[12 18  2 17 18];41
[11 29  5 25 16];[17  2  5  7 11];49
[36 17 31 17  9];[18  3  9  3 10];41
[46 48 14 29 36];[13 10  3 11  7];60
[ 7 24 19 13 20];[18 17 14 17  9];75
[ 8 47 32 38  4];[13 14  1  7  8];68
[ 8 41  9 11 42];[ 6 14  1  5 19];43
[12  6 13 27 30];[15 18  6 14 13];95
[31 16 22 28 42];[17 13 19 12  7];78
[46 48 33 23 34];[ 2 15  9  3 17];30
[38 48 46 30 29];[ 9  3  6 11  9];44
[15 24 24 40 38];[19 18 12  8  1];33
[35 25 48 31 35];[ 4  1 19  9 18];55
[14 17  8 30 21];[ 3 18  3 11  7];32
[34  3 49 30 10];[13  2  3  2 11];40
[17 48 10 15 38];[19  5  8 10  6];80
[49 14 19 13 39];[19  6  1 16 17];70
[ 9 24 18 16 31];[11  3 19 15  8];80
[29 43 12 12 36];[16 16 11 15  8];43
[15 49 23 37 41];[9 5 2 8 6];66
[41  9 29 46 31];[ 2  2 19 14 14];74
[ 9 27 41 15  1];[17 10  1  2  3];34
[ 2 35 12 41 20];[15  8 11 14 10];19
[17  4 45  9 29];[ 2 10 15 19 11];88
[37 24  9 40 48];[17 16 14 14 17];61
[34  4 20 46 36];[ 1 11 13 15  3];22
[49 33 15 34 35];[ 6 13  4 17 18];35
[ 5 16 35  6 15];[ 4  5 17  9 10];22
[23 14 29 16 32];[ 4 11 11 11  1];73
[ 6 32 49  1 21];[14  2  7  7 15];35
[30 30 20 11 32];[13  8 13 19  7];63
[ 3 49 49 38 14];[16 17  9 10  3];51
[25 26 30 13 42];[ 4 12  7 18 19];16
[26 16 24 43  5];[10  7  8 13  9];26
[39 20  9 46 38];[ 1 12 14 10 14];98
[19 15 15 15 17];[ 3 14 18  4 13];45
[21  8 25 16 42];[ 1 11  8  1  5];80
[ 9  3 37 49 43];[ 8  3 14  3  1];53
[21 30 20 10 45];[12  8 12  3  1];57
[40 44  9 18 24];[ 6  1 17 11 14];61
[20 30 14 23 30];[12  9 10 14 19];75
[17 42 39 11 17];[19  3 15 17  1];71
[10 40 41 30 38];[13 17 18  9  4];57
[15 14 45 31  7];[10  9  4  4  5];46
[47 49 48 41 28];[14  9  8 17  3];28
[10  1 31  4 48];[15  4 16 18  4];82
[49 42 42 35 28];[ 9  6  1 18 11];17
[31 32 47 40 10];[12  5  8 13 11];55
[30  1 11 10 29];[ 3  3  6 12  3];43
[41 11  2 33 42];[12 10 13 12 11];15
[46 44 36 42 33];[ 4  9  8 14 15];91
[21 19 32 46 32];[19  5 19  3  9];27
[24 23 15 35  6];[18 19  2  7 15];75
[20 10 13 27  5];[18  4 11 14 14];54
[42 11  4 25 38];[ 4  7  3 19  9];40
[30 43 42 25 12];[ 5 15 17  6 18];70
[48 42 15 19 43];[11  4 16  4 15];75
[23 11 40 28 16];[10  9 10  6 15];91
[47 37 25 40 17];[ 9  7 12 19 19];71
[28 21  9 41 18];[ 9  4 11  7  8];79
[22 42 34 31 23];[13  5  6  6 12];23
[ 2 40 47 36 44];[15  4  7  4  2];81
[19 42 30 38 37];[18 12  8  1 15];76
[48  7  2 37 44];[10  6  4  9 17];24
[21  7 41 44 35];[ 1  7 17 11  1];63
[42 42 45  4 48];[13  8 17  9 18];87
[ 1 28 21 10 11];[ 3  8  5 17  2];36
[18 44 35 32  5];[10 14 19  2  5];15
[39 48 43  6 29];[ 3  1 10  9 10];84
[ 7  9 43 40  9];[18  8 16 14  4];27
[33 43 12 19 25];[13 16 17  3 10];56
[ 4 48 10 29 24];[ 2 18  3  7 10];16
[45  1 29 36 49];[18 15  9  1 19];93
[ 3 17 15 23 18];[15  7 14 19  6];97
[ 5 27 13 39 20];[ 7 18 11  3 10];75
[27 13 38 44 12];[18 18 19  5 12];41
[14 42 27 43 25];[ 3  1  6 12 15];18
[ 2 46 20 21 28];[ 1 10  5 17 19];87
[42 41 29  7  1];[ 4  5  2 13 16];25
[42 23 35 44 35];[ 6  7  3 19 16];68
[35 46 23 14 21];[12 19  4 11  8];51
[27 32 21  8 40];[ 7 14 13 19  8];15
[ 1 26 24 23 29];[19  8 12  7 12];75
[41 23 12 47 10];[ 2 15  1  5 10];62
[39 18  1 49 20];[14 12 15 14  2];84
[16 35 47 15 38];[7 4 3 4 6];43
[28 40 33 28 15];[14 14 17  4  9];72
[36 14 48 35 25];[14  9 11  5 13];72
[22 27  3 44  2];[ 2  4 19 11  1];56
[29 10  4 12 22];[ 8 10 19 10  7];47
[30 37 45 19 35];[ 4 11 16  7 14];86
[35 10 18 47 19];[ 7  4 13  3  3];88
[12 12 22  8 37];[1 8 1 9 2];48
[28 22 21 16 18];[19  3  6 14  3];74
[22  7 12 46 15];[ 8  2 14 15  1];45
[44 11 29 31  5];[11  7  9 14 14];58
[27 29 14 21 10];[ 4 16  8  6 18];37
[47 47  5  1 21];[ 5 13 16 12  2];52
[ 1 28 36 17 23];[ 5 18 16  2  6];44
[ 4 44 25 10 42];[ 3  1 11 17 17];49
[15  2  9 17 26];[15 18 17  4 12];33
[24 18  1 35 17];[15  9  2  8  7];96
[47  8 41  3 35];[ 2 18  5  4 16];28
[29  6 24 28 37];[ 6  9 19  2 17];38
[41 46  9 25  2];[11  5 12  3  3];20
[38  5 28 22 18];[11 19 14 19  3];40
[27 18 26 28 35];[ 1 16  2  2 18];48
[47 20 49 32 30];[14 19  5  9 17];88
[13  7 24 41 18];[10  7 15  9  9];38
[ 8  8 41  8 44];[11 11  9 18 14];21
[33 38 12 47 26];[12 13 19 12  6];79
[29 44 17 24 22];[ 4  8 16  6 16];88
[14  2 10 36 19];[ 9 16  7 13  9];55
[ 3 47 48 34 44];[17 13  4 19 16];43
[ 4 13 15 33 42];[ 4  9 13 12  7];88
[ 1 37 24 24 12];[14 18  2  4  7];96
[37 37  1 38 25];[18  3 15  6 14];36
[ 3 48 23  6  4];[13  3 17  7  9];44
[25 27 47 43 11];[ 4 13 16 17  6];21
[31  4  7 23  7];[15  3 12 12  3];69
[35  8 43  9 49];[18  4  9 10 10];87
[41 14 15 19 13];[11 11 15  2  7];99
[29 49 12 31 24];[ 1 19 18 18 15];25
[49 10 21  4 48];[12 16  8 18 18];42
[31 21 37 15 46];[16 19  5  7  3];27
[44  3 43  7 25];[14  4 12  3 17];20
[ 9  9 44 20  2];[ 8  7  5 14 19];26
[ 6 20 17 20 22];[16  7 15  1  7];90
[22  6 31  4 10];[ 3 13  4 10  9];67
[41 17 44 34  5];[16  3 18  3  8];49
[24 16 17 32 45];[12 13 11  3  5];93
[43  6 41 11 45];[ 5  6 13 19 16];96
[35 42 27 24 29];[15  1 11  1 16];25
[49 43 46 11 35];[16  5 12 15 19];24
[34 27 45 34 19];[14 15 15 13 18];49
[11  1 13 22  7];[18  8  5 17 11];88
[41 10 39 48 38];[ 8 16  7 10 13];59
[38 21 40 27 44];[16 17 14 17  3];91
[13 16 20 48 19];[ 9 18 15 11 18];67
[34 47 37 19 28];[18 11 19 15 13];68
[38  9 36 43 24];[ 3  2 18 12  6];37
[ 1 24 40  1 21];[ 3 16  3 17 14];95
[15 31 24 10 34];[13 10  9  4 13];34
[ 4  6 46 19 24];[15  6 12  8 15];28
[44 41 23 41 21];[ 3  4  6 19 17];92
[12 22 21  3  3];[ 6  5  7 14 12];15
[47 29 44  8 12];[ 4  2  8 14  1];96
[43 30 28 37 13];[ 3 10 19 14  7];51
[37  7 43 47 24];[ 4 15  5 19 10];55
[39 14 35 45 23];[ 7 19 18 10 18];69
[43  1 27 42  3];[16 10  1  1  5];61
[44 35  5 27 24];[19 11 16 16 14];51
[23 49  5  3 49];[ 3 13  4  3  7];94
[17 16  8 22 13];[12 13 13 17  7];63
[16 36 39  9 40];[17  7 19 15 15];25
[44 27 36 23 38];[ 9  6  9  2 18];52
[30 16 39 16 37];[16  9 12 12 14];89
[42 33 32 19 40];[18 16 19 13 15];70
[43 38 25 14 24];[11 17 11 15 14];22
[25 29  4 23  1];[11  8  2  8 12];76
[27  5 31  9  9];[14  2 17 17 19];73
[33 16 30 23 49];[ 4  6 10  2 15];68
[41 37 36 37 10];[13  2 13  7  7];58
[48 35  9 10 32];[19 15  6  7 11];41
[21 33 46 42 11];[ 6  6  1 18  6];49
[ 7  4 47 36 35];[ 3  8  5 11  1];23
[36 18 25 33  5];[12 16  6  5 14];38
[32 21 21 13 38];[ 8 13 16  1  4];69
[40  9 15 37 42];[ 5  2 12  1  5];30
[41 25 29  7  2];[19 15 13  3  4];94
[20 18 48 47 23];[ 3 14  8  3  5];18
[38  3 33 48 10];[11  4  1 12  7];24
[49 34 26 40 10];[10  2 15  1  3];17
[41 24 47 38 11];[ 4  8 16  1 17];49
[21  5 11 26 34];[ 4 15 11  3  9];32
[39 31 37 38 11];[15  6 19  8 19];66
[ 9 17 40 30 26];[ 7  9 16 11 12];88
[32 47 42 31 26];[11 11 13 11 13];49
[47 21  9 44  4];[ 3  8 13 11 19];66
[24 13 31 11  8];[18 18 13  4 14];40
[ 5 28 34 12  8];[17  3 19 13 10];98
[28 44 16  9 33];[ 9 14 12 17 16];98
[30 33 11 23 37];[ 2  8 13  4  4];61
[43 35 21 36  6];[5 2 3 1 7];78
[32 16 22 47 17];[ 1  8 17 15 19];17
[31 29 28 20 27];[ 9 11 19 15  5];92
[ 8 41  6 39 38];[ 5 16  5 12  3];63
[37 49  9 29 16];[ 6 17 10 13 12];91
[16 28 20 18 43];[11  5  6  2 13];46
[ 3  6 47  6 36];[19 18 11  7 15];51
[38 33 34 25 31];[10 15 19 18  6];36
[33  6  4 37 29];[ 3  2 11 11 14];44
[17 45 26 31 36];[18  3 18  8  8];83
[14 19  9 16 49];[ 4 11  7 12 19];99
[30 15  8 26 32];[ 9  7  1  4 14];42
[16 10  5 12  5];[14  9  2 15 10];41
[29 36 11 43 32];[ 5 11 18 17  2];63
[35  6 25 46 34];[11  3  2 14  2];59
[18 10 35 48  4];[19 13 12 18 16];53
[10 44 28 18 27];[16 16 19 10  2];73
[ 3 27 36  5 27];[ 8  8 19  6  6];87
[36 18 41 15 48];[ 6  5 11  7  8];90
[20 41 46 24 32];[14  1  8 14 16];27
[20 24 22 45 23];[ 4  4  8  3 15];95
[38 26 18 10 42];[10  9 11 16 10];35
[37 16 13 41 23];[ 8 11 13 16  1];70
[47 16 13  6 36];[ 8  4 12 14  4];42
[15 11 26 48 21];[ 3 15  6 10  1];96
[23  7 16 20  3];[12 19 17 12  8];17
[ 6 14 23 26 22];[ 2  5 17  6  9];17
[26 48 20 18  2];[ 6 14  6 12  9];34
[ 3 14 15 36 37];[ 1 19  4 14  8];19
[26 40 35 11 30];[3 9 1 9 5];22
[24 49 47 22 40];[ 6 16  7 12 14];73
[23 16 28 29 22];[19 15 10 19  3];39
[ 8  2 28 17 12];[ 4 15  9  3  9];52
[40 21 27 46 48];[14  1 18  9  3];42
[29 28  6  8 11];[ 5 17 14 15 16];93
[20 45 43  4  9];[11 11 14 12 15];55
[23  2  5 15 32];[ 6  8 10 15 17];41
[38 36 35 15 14];[ 4 16  8  5 11];43
[12  5 34 19 32];[16  5 11 17  4];60
[25  7  3  5 37];[ 4 13  7 19  8];83
[35 25 24 26 27];[3 7 3 1 8];82
[39  2  8 33  1];[ 7 14  5 19  9];85
[16 29 45 41 25];[11 18 11  5 14];53
[36 39 33 48 15];[ 7  9 11 14 18];46
[16  4 48 46 48];[ 1 14  8  3 17];52
[ 7 16 20 35 33];[ 1 10 15  2 19];45
[11 28 22 13 12];[17 16  5  2  6];47
[39 49  6 29 45];[ 1  5 14  9 15];71
[ 2  8 44 47  3];[15  7 15 15  6];81
[ 7 43 30 22 42];[18  5 17  1  2];64
[39 47 39 13 30];[10 12 16 14 15];35
[44 49 27 45 41];[ 7  6 11 11 12];49
[13 39 26 35 22];[ 7 13 14  4  3];77
[42 39 32 45 39];[ 4  4 12  1  1];32
[42 29 18 42 10];[ 7  4 15 13 16];65
[48 24 49 45 35];[18 18 12 17 11];35
[12 34  6 47 42];[7 2 2 6 7];96
[46 38  3 39 33];[18 11 13 18 15];23
[34 32 13 10 23];[ 5  7 13  9  5];17
[35 27 11 35 45];[ 4 11  6 16  4];61
[46 14 25 16  4];[18 16  7  2  8];61
[40 14 22 25 32];[14 14 11 13 11];15
[14 45 25 13 29];[ 9 10 17  5  3];67
[ 8 32 41 39 20];[19 10  4  9  1];75
[20 30 21 15 11];[ 8  4  7 18  5];34
[21 34  6 46 45];[15  5  2 18 10];46
[40 11 30 44 41];[ 4 14 12 14  4];63
[22 38 12 47 42];[17 18  8  7  9];18
[33 27 47  4 32];[ 5  7 16 16  1];98
[23 46 11 37 20];[12  1 17 17 12];92
[ 5 48 44 36 37];[ 2 15  5 19  2];37
[49 39 13 10 36];[18  5  8  9  3];70
[36 30 43 36 40];[ 2  4 10  3  2];23
[38  3  7  3  8];[ 1 10  3 16 15];74
[37 43  7 37 13];[ 8 10  6  1 19];38
[39 26 15 39 20];[ 9 16  7 10  9];46
[45 45 24 45 25];[ 2 11  4  2  4];90
[15 43 40 35 12];[15  5 18 15  3];68
[12 36 15  2 13];[1 8 6 5 8];40
[11 32 44 36 15];[15  8  2 17  7];97
[ 4 25 16 46 32];[ 2  3  3 13  3];71
[15 44 17  8 25];[14 12  7 12 14];75
[32 42 25 20 40];[17 18 16  9 16];51
[49 20 30 21 42];[ 4 18 14 17 17];68
[14 47  5 22 13];[15  7 18  9  3];30
[17 46 26 26  1];[15 12  4  1 18];26
[24  3  5 33 23];[15  1 17 13  6];51
[ 5 45 38  9 34];[2 5 5 8 3];31
[41 39 27 49 38];[ 6  8 14 13 10];30
[37  5 46  3 31];[ 9 12  1  6 10];56
[37 18 32  1 11];[19  9 16 12  9];48
[48 39 34 38 39];[ 9 15  7 13  1];86
[26  9  3 47 49];[17  9 19  9  2];41
[27 20 32 16 21];[ 4  3  4 18  8];89
[23 43 34 19 24];[ 4  4 16  9 10];54
[21 46  4 32 14];[12 18  7 19  3];24
[43 26 28 42 20];[ 1  1  7 12  4];85
[34 26 25 19 29];[ 8 12 13 11  6];66
[10 47 26 49 42];[ 7 11  8  5 17];70
[21 24 41 31 23];[13  8 14 19  1];34
[ 6 39 45  6 16];[ 8  8 13 17 18];99
[24 34  2 24 19];[ 8 16 16  6  4];68
[36 20  1  6 49];[16  9  8 19  5];53
[40 35 14 43 30];[ 4 12  1  6 10];94
[25 24  2 49  3];[12  3 16 18  6];55
[43 16 15 30 39];[ 1 10 17 15  3];33
[36 37  3 10 11];[2 7 9 4 8];95
[ 7 12 19 33 13];[15 12  4 19 11];53
[ 2 26 45 34 22];[11 11 16 13  7];66
[26 15 44 48 33];[ 8  3 12 12 18];92
[13 44 48 45 28];[17 15 10 16  2];48
[28 24 44 20 37];[15  8  4 17 17];15
[22 21 14 22 21];[13  8  5 18  5];84
[40 10 40 17 17];[19  6 12  7  1];94
[18  1 22 33 19];[19 13 16 14 17];46
[24 39 17 37 20];[14  2  9 17 10];45
[ 9 28 46 48  6];[ 5 18  2 16  7];86
[14 28 18 41 13];[19 10 15 12 11];66
[ 8 39 11 16 34];[19  3 14 18 11];81
[24 46 29 44 15];[12 19 11 15  7];63
[33 42 34 22  9];[11 18 13  7 15];71
[ 2  9 47 18 42];[ 3 14  9 10  7];50
[14 42 44 45 38];[ 5 11  1 19 13];15
[41 48 11 25 16];[ 6 17 15 12  9];32
[33 25 43 16 35];[ 6  7  9  3 19];40
[38 43  3  3 48];[ 8  5 14  2  7];43
[46 41 38 22 32];[19 11 13 11  8];28
[40 15 13  3  8];[ 8  8  8  6 14];94
[45 29 15 24 26];[ 1 15  7  4 15];81
[25  2 24  7 15];[14  8 13  3 11];44
[34  2  1 26 23];[13 12 18 14  8];41
[43  8 25 33 14];[ 3  9 15  9  2];93
[29 26 16 15 11];[ 5 16  5 10 13];50
[18 49 44 40 14];[ 9  3  6 14  3];68
[49  9 16 40 44];[ 9  4 13  2 11];98
[47 35 29 35 42];[ 7  6 14  3 13];59
[ 4 46 23  9 37];[10 13 14  1 19];63
[26 45 32 19 44];[ 2 10  9 15  7];35
[28  7 36 43 24];[19 13  3  1 15];46
[36 32 28 16 46];[ 3  7  3  6 14];95
[45 30 13 23 33];[ 5  9 18 11  4];94
[ 6 37 11 20  9];[ 3 13 11 12  3];39
[17  1 28 25  9];[ 9 13  3 13 11];72
[26  1 17 31 15];[12 11 13 11  2];66
[29  6 16 39  7];[ 8  7 10 14 12];25
[23 45 41 20 38];[13 19  2 10 19];57
[45 49 18 20 30];[15 19  5  1  6];88
[33 34  1 30 14];[11 19 17  1 18];22
[25 38 43 13  2];[19 10 16 11  1];84
[ 1 23 14 39 38];[ 1 13  7  7 14];62
[ 4 32 39 47 15];[14  4 14 13  8];44
[29  6  4 20 22];[17 13 17 12 10];79
[31 47 42 43  1];[ 1  6 11  3 17];70
[ 7 22  7 29 38];[9 1 3 8 8];81
[36 26 23 30  1];[ 7 11  6 15 14];15
[11 47 40 25 36];[19 12 12  5 19];78
[21 43 43 38 20];[ 4  6 11 13 10];22
[20 37 11 15 24];[ 3 18 13  4 15];49
[36 15 32  8  9];[ 7 16  9 13 14];64
[ 3 13 22 38 37];[14  2 16 16  8];66
[12 17 17  9 16];[19  5 10  7  9];99
[21 26 22 13 30];[14  7 10 13 16];55
[22 19 45 49 36];[12  5 13 14  2];49
[24  7  8 39 30];[10  1 12 10 14];58
[ 7 21 31 42 43];[14  3 19  8 13];69
[49 16 23 45 22];[ 8  4 16  8  2];57
[48 45 24 14 25];[10 12 10  8 12];57
[34  5  6  1 46];[17  1  9 12  2];24
[46 12 47 43  6];[13 10 12  7 12];73
[ 8 47 16 43 10];[11 18 15  8 11];20
[47 28 48  9 38];[17  7  6 16 17];50
[40 40 20  4 22];[ 3 13 11 10 14];70
[26  6  3 49  1];[10  8 11  1 12];22
[35 18 23 14 33];[18  3  6  8  9];30
[ 5 45 38 18 31];[12  1  4 14  1];19
[ 3 15 29 13 36];[ 7  7 12 19 18];21
[26  3 47 16 43];[18 14 18 19 12];53
[20 39 21 16  7];[ 6  7 12  5 14];27
[ 1 12 25  7 16];[19 14 10  1  7];25
[ 5 32 43  9 45];[11  9 15  6 11];70
[25 28 22 38 14];[16  7 14  1 14];57
[25  8 36 19 42];[ 2  1 17  8  4];42
[13 29 38 33 46];[ 1 18  8  3  3];19
[35 10 28 49 47];[13 13 14 15 17];82
[39 12  9  2 49];[ 6 17 15  9  1];35
[18 23 39 12 11];[ 1 12  6 12 18];75
[39 46 32 26 26];[14 11 18  9  2];93
[41 41 28 29 42];[ 9 10  8 11  4];86
[49  9  3  7 13];[13 15 13  6 15];28
[ 5  1 13  3 37];[ 3  6  7 14 15];51
[11 27 31 48 10];[15 16  8 12 11];43
[36 14 26  8 10];[14 15  7 17 18];99
[18 34 32 46  6];[14 15  9  9  6];31
[16 10 49 34  3];[18  5  4 17 11];58
[38 11 11 47 16];[ 6 14 18 10 14];36
[27 28  5 49 11];[ 9  6 14  9  3];62
[19 23  7 41 26];[ 3 13 14 17  5];54
[44 42 28 30 44];[11 15  5  6  3];99
[48 24  1 33 29];[ 6  9  4 18 16];77
[18 45  9  9 36];[ 4 16 16  1 18];64
[22  2 17  8 11];[12 14 18 11  6];92
[39 17 16 23 11];[ 2 18 18 17  5];53
[12 48  2 20 41];[16  4 11  9  8];95
[20  8 10 46 48];[10  1  6 18  6];90
[ 9 30  3  2 28];[ 7  2 10 13  7];70
[40 35 47 41 18];[12 14 17 19  4];16
[46  9 11 47 17];[ 4  2  9  5 18];19
[13 27  6  5 15];[17 15  7 15  7];27
[12 32 35 40  6];[10  9 15  9  5];85
[13 36 28  3 41];[ 4 10  6 19 18];75
[16 30 17 41 11];[ 8  4  2 10  2];78
[ 4  8 33  4 34];[ 7  7  7  2 12];57
[14 44 26 13 46];[16  9  6  7  7];59
[26 12  3 22  2];[ 5  6  1 16  7];68
[28 28 42  4 40];[ 2  1 12 13  5];93
[22 15  1 34 45];[ 2 13 18  3  3];44
[21 36  5  9 38];[ 5 18 12 16  8];34
[14 35  9 18 28];[15 15 18 10  4];69
[15 48  5  7 47];[ 8  8  6 16 13];33
[30 19 46 33 43];[ 3 15  7 12 17];89
[17  3  9 48 20];[11  4  6 14 17];78
[25 36 32 24 49];[19  9 13 18  8];16
[41 10 38 38  4];[16  5 14  9 15];83
[32 47  7 12 13];[12  8  2  3 14];57
[47  2 19 39  4];[ 9  1  8  5 15];76
[40 36 31 41 12];[ 9 16  7  6 19];87
[45 44 34 28  7];[ 2 16 13  5 18];23
[14  5 34 23 36];[ 1  7  5  3 15];82
[19 31  7 10 42];[14 18 11 18 14];80
[ 7 48 10 27  6];[18 18  9  7  2];24
[15 42 26 33 36];[16 18  7 10 11];78
[30 39 49 36 12];[18 17 14 15  2];48
[39 29 10 41  8];[ 9 18  1 16 11];44
[36 19 16 28 32];[15  7 13  7 10];51
[40  2 22  2 42];[9 2 2 7 8];59
[35 35  8 42 13];[7 5 3 3 4];83
[24 47 45 47 49];[19 13  9 16  9];89
[18 16 15 20 19];[ 1 16  8  9  3];52
[10 12 40 14 34];[11  1  6  5  5];49
[14 45 15  5 38];[ 4 13 17 17 10];63
[23 40  7  9 16];[ 6  1 18  8 14];52
[ 3 46 44 12 24];[14 19  6  5  8];36
[36 10 21 43  7];[ 4 12  1  7 18];89
[25  3  2 11 35];[ 7 18 13 19 17];78
[13 36 12 49 40];[16 17 18 10 16];67
[ 2 39 15 30 29];[ 2  3  3 17 14];64
[46  9 35 31 38];[17 15 14  8  8];73
[31 21 43 41  9];[ 2  1  3 13  4];40
[26  1 47  3 41];[16  1  8  5  6];51
[23 49 47 25  3];[11  6 10  2  7];70
[ 5 48 34 38 13];[10  7  2 15  6];28
[19 39 25 26 21];[ 9 19  3 10  9];71
[47  3  4 32 36];[19  4 11 14 16];63
[33  2 21 21 27];[ 6  2 11  9 10];54
[27 31 17 13 38];[11  6  2  8 13];51
[ 4 32 11 48 10];[ 7 18  7  1  8];38
[18  9 11 27 35];[ 1  8  7 16 14];47
[22 37 47 11 26];[14 10 11 12  9];56
[ 3 47 18 31 31];[ 2  3 13  1  1];17
[12 22 46  4  4];[18  5  8  4  9];28
[35 35 44  4 28];[ 6 13  5 15  6];99
[48 39 15  4  9];[13 17 16 19  8];66
[ 4 34 24 23 47];[ 1  6 16 11  1];28
[28 36 36 21 33];[ 7  2 13  8 17];46
[42 45 15 14 17];[3 1 5 1 4];52
[35 34 43  7 37];[ 8 10 11 11 11];82
[12 44 36 15 39];[ 2 19 17  8 17];57
[11 25 38 14  9];[ 7 14 13 12  5];78
[ 4  1 38 41 15];[13 14 16 19  7];42
[23 28 19 36 37];[17  5 10  1 19];21
[28  2 35 16 31];[14 19  2  6 12];56
[32 24 13  3 36];[10 11 12  8 18];73
[28  3  1 33 19];[ 6  3 14  8  3];40
[13  1  5  6 29];[10 12  6  4 14];27
[18 25 20 19 39];[14  8  2  2 12];72
[12 46 35 33 18];[15 10  8 15 16];60
[12 10 13 37 49];[14  3  9  3  9];67
[40  3 30  2 43];[12 16 14  2 10];53
[49 38 15 29 40];[ 6 17 10 15  8];45
[ 1 12 15  8 18];[ 4 10  2 19 11];50
[19 26 10 34 36];[18  6  8 16  5];74
[36 14 33 17  7];[11 18  3  1 15];57
[26 33 36 45 42];[18 15 18 19  6];94
[30 38  8  6 16];[12 14  4  3 14];49
[14 33 11 17 39];[16 11  7 14 13];23
[18 46 29 30  5];[11  8  4  6  5];40
[31 49 16  8  9];[ 9 15 16  7 18];90
[41 46 39 42 41];[14  5 10 17 18];96
[32 21 24 19 34];[10 16 12  7  8];23
[25 14 13 12 20];[ 3 14  4 10  2];52
[23 18 15 38 45];[11  1 17  1 17];26
[24 11 41 18 39];[11 15 18 18 11];35
[19 32 19 34 13];[17 14  1  8  3];66
[46 24  7 31  3];[16  5  9  3 18];29
[13 43 36 46 46];[ 6 13  1 19 15];57
[37  5 17 14 27];[19  2 17  4 11];52
[12 37 45 48  7];[ 8 18 12 19 10];67
[24 22 33 15 26];[16 12  9 15 12];28
[41 34 12 15 44];[14 14 10  4  6];69
[41 10  4 30  5];[14  7 16  2  9];28
[ 2 22 17 10 29];[15 15 10 14 11];19
[32  9 37 30 14];[ 1 10  8 13 13];32
[39  1  3  7 45];[15 19  2 11  4];95
[44 13 43 32 11];[12 17 15 14 12];73
[ 3 43 32 26  9];[ 2  1 14  7 17];58
[35 43 40 43 24];[11 17 19 12 19];79
[29 24 48 13 11];[11 11  2 17  7];85
[41 11 39 45 14];[18  2 19 18 19];19
[48  2  6 16  7];[14 18  9  2  6];98
[44 49 15 34  4];[19  8  8 12  8];52
[33 33  5 30  9];[ 5  8 15  1 11];35
[12 18 38  8 38];[ 6 18  3 17 18];67
[ 2 36 41 33 15];[ 9  6 12 16  2];73
[ 8 41 19 45  7];[ 5 16 14 17 14];73
[41  1 34 45  9];[ 8 15 16 17  6];50
[30  5  8 22 25];[ 6 12 19  2 15];73
[ 5 36 24 47 38];[14 10  5 12  8];66
[19  6 32 33 22];[12 12  2  6 17];76
[24 38 28  2  1];[11 17 18  3 13];15
[26  8  7 45 10];[13  9 11 17 17];63
[ 9  9 15 40 48];[ 7 12 15  6  3];37
[48 27 46 22 13];[19  3 13 18 11];62
[49 12 45  4 17];[ 5 14  7  6 17];89
[ 8 14 30 47 21];[6 3 9 4 3];91
[39 32 44 10 10];[ 8 13 14 14  6];39
[29 33 44 48  6];[11 10 13 16  8];99
[ 7 13 19 23 35];[ 7  7  7 16  3];35
[13 22 42 23 44];[10  1 11 10  7];42
[ 4  9 11 39 33];[10 17  7 11  6];66
[46 17 28 49 26];[5 3 5 8 4];65
[20 25 46 46  1];[18 10  9  3 14];27
[ 7 13 44  8 27];[ 9  6 19 17  8];51
[31 37 48 39 43];[15  1 10 15 18];62
[37  4 46 27  5];[ 5  5 17  6 15];38
[13 22 21 19 15];[ 9 16 18  2 19];59
[46 41 49 12 41];[ 9  5  4 10  9];70
[47 29 26 20 48];[ 5 17 18 16 12];70
[24 46  1 46  5];[ 7  3 12 15 14];77
[34 41 11 13 16];[ 9 15  1 13 13];57
[27 32 32 30 15];[ 5 11 11 16 16];42
[ 7 32 45 14  1];[16 17 12  2 13];74
[47 46 26 42  4];[14 14  6 12  2];53
[14 34  3 17 41];[12 16  3 11  9];27
[39 35 40 18 33];[17  4 14  1  9];72
[37 31 11 17 16];[ 6  8 12  6  8];81
[ 1 16  8 35  5];[16 13 19  6 15];28
[33 21 15 24 39];[15  7  7  4  6];59
[ 2 13 27 12  1];[17 12 16  8 18];42
